ind,loanAmount,intRate,installment,grade,annualInc,totCurBal,totalRevHiLim,totHiCredLim,totalBalExMort,totalBcLimit,totalIlHighCreditLimit,Dietz,blade
957," 7,950.00 ", 0.16 ,277.98,C," 32,000.00 "," 119,766.00 ",14700.00,138921,28804,10000,22721,0.15,r
958," 10,000.00 ", 0.08 ,312.91,A," 85,000.00 "," 241,924.00 ",51200.00,289017,25499,41000,4128,0.00,w
959," 35,000.00 ", 0.12 ,1162.34,B," 75,000.00 "," 37,788.00 ",52000.00,54278,37788,52000,0,-0.21,e
960," 10,050.00 ", 0.11 ,328.98,B," 45,000.00 "," 241,223.00 ",20600.00,256314,40237,20600,32600,0.10,r
961," 3,000.00 ", 0.14 ,101.85,B," 55,000.00 "," 14,139.00 ",7100.00,37433,14139,4300,30333,0.13,w
962," 3,125.00 ", 0.19 ,114.9,D," 39,000.00 "," 21,520.00 ",6900.00,26310,21520,2900,19410,0.19,e
963," 8,575.00 ", 0.11 ,280.7,B," 56,376.00 "," 189,103.00 ",8500.00,275125,59953,8500,70127,0.08,r
964," 31,000.00 ", 0.09 ,984.35,A," 140,000.00 "," 186,904.00 ",43700.00,206645,49626,43700,21949,0.08,w
965," 5,000.00 ", 0.12 ,166.05,B," 22,500.00 "," 21,484.00 ",68600.00,87494,21484,60300,18894,0.11,e
966," 10,000.00 ", 0.12 ,332.1,B," 40,000.00 "," 35,159.00 ",8200.00,28953,35159,8000,20753,0.07,r
967," 21,725.00 ", 0.14 ,737.56,B," 50,000.00 "," 38,532.00 ",35200.00,61753,38532,12500,26553,0.13,w
968," 7,200.00 ", 0.11 ,235.69,B," 54,492.00 "," 61,728.00 ",11700.00,76145,61728,6000,64445,0.10,e
969," 16,000.00 ", 0.09 ,508.06,A," 140,000.00 "," 51,008.00 ",41200.00,99037,51008,23600,55486,0.08,r
970," 16,750.00 ", 0.18 ,607.66,D," 62,000.00 "," 319,066.00 ",28000.00,343703,46360,21500,38382,0.07,w
971," 6,000.00 ", 0.17 ,213.89,D," 56,000.00 "," 24,668.00 ",6600.00,33285,24668,5800,26685,0.13,e
972," 20,000.00 ", 0.14 ,688.13,C," 68,000.00 "," 28,913.00 ",11500.00,59611,28913,5000,48111,0.13,r
973," 10,400.00 ", 0.14 ,355.35,C," 48,750.00 "," 62,091.00 ",14600.00,86588,62091,6600,71988,0.09,w
974," 21,000.00 ", 0.18 ,528.37,D," 95,000.00 "," 274,045.00 ",24900.00,307350,36452,18000,38450,0.21,e
975," 35,000.00 ", 0.15 ,1212.95,C," 100,000.00 "," 48,479.00 ",51700.00,77047,48479,27100,23621,0.14,r
976," 20,000.00 ", 0.14 ,470.26,C," 84,000.00 "," 54,289.00 ",9200.00,114887,54289,1400,105687,-0.41,w
977," 30,000.00 ", 0.14 ,705.38,C," 75,000.00 "," 221,704.00 ",45200.00,266038,35488,38500,24135,0.17,e
978," 20,000.00 ", 0.09 ,635.07,A," 68,000.00 "," 144,872.00 ",78200.00,244351,64727,44200,55651,0.06,r
979," 14,000.00 ", 0.10 ,449.58,B," 84,000.00 "," 91,314.00 ",47200.00,165384,91314,27900,118184,0.09,w
980," 14,400.00 ", 0.08 ,448.73,A," 68,000.00 "," 257,131.00 ",7300.00,394187,28860,2200,31542,-0.67,e
981," 15,000.00 ", 0.11 ,491.01,B," 39,000.00 "," 29,418.00 ",19600.00,50701,29418,11600,31101,-0.62,r
982," 16,500.00 ", 0.16 ,403.36,C," 51,571.20 "," 47,557.00 ",36800.00,86469,47557,22800,49669,-0.52,w
983," 8,475.00 ", 0.18 ,304.57,D," 67,000.00 "," 345,469.00 ",16100.00,359634,57496,12300,49534,0.00,e
984," 10,000.00 ", 0.09 ,317.54,A," 70,000.00 "," 195,969.00 ",31700.00,229926,68557,14900,69226,0.03,r
985," 11,100.00 ", 0.16 ,388.11,C," 30,000.00 "," 47,088.00 ",21300.00,65400,13751,17000,0,0.15,w
986," 18,000.00 ", 0.15 ,428.03,C," 90,000.00 "," 262,280.00 ",21900.00,294450,112275,21200,119550,0.21,e
987," 9,000.00 ", 0.13 ,302.6,B," 41,460.00 "," 134,500.00 ",14300.00,149662,69993,4100,69086,0.07,r
988," 25,000.00 ", 0.16 ,602.79,C," 60,000.00 "," 83,258.00 ",46375.00,113988,83258,30200,67613,0.13,w
989," 12,000.00 ", 0.16 ,289.34,C," 82,000.00 "," 163,009.00 ",9100.00,221814,44517,1500,68714,0.10,e
990," 25,000.00 ", 0.16 ,611.15,C," 58,240.00 "," 37,018.00 ",54900.00,54900,37018,33100,0,0.10,r
991," 1,600.00 ", 0.24 ,62.53,F," 48,000.00 "," 26,046.00 ",19200.00,39109,26046,12700,18250,0.23,w
992," 19,425.00 ", 0.16 ,685.23,C," 45,000.00 "," 61,524.00 ",8400.00,77456,61524,8400,69056,-0.20,e
993," 14,000.00 ", 0.12 ,464.94,B," 254,000.00 "," 611,598.00 ",16400.00,657298,36216,13900,36615,0.08,r
994," 7,000.00 ", 0.18 ,251.56,D," 35,000.00 "," 18,186.00 ",8100.00,25065,18186,1000,16965,0.13,w
995," 28,000.00 ", 0.26 ,835.03,G," 90,000.00 "," 229,346.00 ",34100.00,241300,27382,27500,0,-0.66,e
996," 30,000.00 ", 0.26 ,894.67,G," 165,000.00 "," 414,989.00 ",41400.00,463381,83157,32100,74914,0.22,r
997," 21,000.00 ", 0.07 ,644.78,A," 90,000.00 "," 353,084.00 ",69800.00,427175,42638,64700,22829,0.03,w
998," 8,000.00 ", 0.12 ,265.68,B," 115,000.00 "," 270,488.00 ",72700.00,326606,71292,50700,44081,0.11,e
999," 12,000.00 ", 0.07 ,368.45,A," 78,000.00 "," 89,187.00 ",17000.00,108302,89187,14000,91302,0.04,r
1000," 10,000.00 ", 0.18 ,255.3,D," 44,000.00 "," 129,674.00 ",14300.00,159091,24651,6100,31848,0.28,w
1001," 2,500.00 ", 0.16 ,88.19,C," 93,500.00 "," 44,771.00 ",33800.00,52049,44771,33300,18249,0.09,e
1002," 14,000.00 ", 0.12 ,464.94,B," 100,000.00 "," 299,490.00 ",53100.00,334630,69319,45400,43716,-0.32,r
1003," 15,000.00 ", 0.14 ,516.1,C," 50,000.00 "," 14,660.00 ",16900.00,16900,14660,15400,0,0.14,w
1004," 10,000.00 ", 0.10 ,321.13,B," 60,000.00 "," 16,156.00 ",8500.00,22596,16156,8500,14096,0.09,e
1005," 6,000.00 ", 0.11 ,196.41,B," 31,200.00 "," 19,172.00 ",8000.00,21926,19172,4900,13926,0.04,r
1006," 16,000.00 ", 0.06 ,486.97,A," 46,000.00 "," 228,067.00 ",70000.00,290812,45655,63500,27563,0.05,w
1007," 15,250.00 ", 0.14 ,524.7,C," 35,000.00 "," 108,702.00 ",51900.00,165061,17435,27100,21325,0.11,e
1008," 7,000.00 ", 0.14 ,239.18,C," 74,000.00 "," 23,834.00 ",6300.00,29629,23834,6300,23329,-0.08,r
1009," 17,450.00 ", 0.16 ,426.58,C," 65,000.00 "," 8,347.00 ",10700.00,37844,8347,9000,27144,0.23,w
1010," 15,000.00 ", 0.14 ,352.69,C," 69,700.00 "," 149,263.00 ",24800.00,177885,51753,10200,48798,0.18,e
1011," 8,000.00 ", 0.17 ,285.19,D," 50,000.00 "," 34,817.00 ",16400.00,47785,34817,13400,31385,0.11,r
1012," 9,450.00 ", 0.14 ,325.14,C," 48,000.00 "," 187,025.00 ",17000.00,210373,41812,9900,36520,0.12,w
1013," 15,000.00 ", 0.11 ,491.01,B," 45,000.00 "," 10,681.00 ",12500.00,25253,10681,8900,12753,0.11,e
1014," 10,000.00 ", 0.09 ,317.54,A," 43,000.00 "," 30,455.00 ",24800.00,47368,30455,6600,22568,0.08,r
1015," 31,700.00 ", 0.16 ,764.33,C," 120,000.00 "," 429,226.00 ",84800.00,483083,114011,22200,60783,0.15,w
1016," 30,000.00 ", 0.08 ,934.85,A," 120,000.00 "," 174,957.00 ",107700.00,250602,57958,47700,0,0.07,e
1017," 34,800.00 ", 0.17 ,864.69,D," 98,400.00 "," 505,958.00 ",32100.00,523692,235004,16600,204459,-0.32,r
1018," 5,000.00 ", 0.16 ,174.83,C," 53,000.00 "," 20,885.00 ",60300.00,82097,20885,16900,21797,0.14,w
1019," 10,800.00 ", 0.14 ,366.66,B," 50,000.00 "," 23,726.00 ",9300.00,44143,23726,7300,34843,0.13,e
1020," 20,000.00 ", 0.17 ,496.95,D," 51,000.00 "," 36,045.00 ",18000.00,60782,36045,14500,42782,0.04,r
1021," 10,000.00 ", 0.10 ,321.13,B," 40,000.00 "," 26,457.00 ",49500.00,71737,26457,35400,17068,0.09,w
1022," 17,800.00 ", 0.14 ,604.31,B," 99,500.00 "," 261,612.00 ",41800.00,268471,39747,41800,0,0.09,e
1023," 4,000.00 ", 0.13 ,134.49,B," 123,300.00 "," 275,896.00 ",26800.00,309049,68800,25500,58249,0.12,r
1024," 7,300.00 ", 0.10 ,234.43,B," 35,000.00 "," 11,022.00 ",38000.00,44800,11022,31300,6800,0.08,w
1025," 5,800.00 ", 0.10 ,186.26,B," 22,000.00 "," 13,745.00 ",11500.00,23100,13745,7700,11600,0.09,e
1026," 11,500.00 ", 0.07 ,353.1,A," 43,000.00 "," 130,662.00 ",34800.00,176838,14894,30600,24778,0.05,r
1027," 17,000.00 ", 0.13 ,571.57,B," 100,000.00 "," 484,455.00 ",28600.00,518967,54633,24200,53885,0.05,w
1028," 8,500.00 ", 0.09 ,269.91,A," 42,000.00 "," 90,609.00 ",14800.00,102575,38855,5800,35087,0.08,e
1029," 15,000.00 ", 0.11 ,491.01,B," 57,000.00 "," 17,183.00 ",19000.00,50350,17183,5700,31350,0.10,r
1030," 24,000.00 ", 0.16 ,578.68,C," 80,000.00 "," 23,234.00 ",18500.00,34715,23234,17800,16215,0.24,w
1031," 24,000.00 ", 0.08 ,750.97,A," 102,000.00 "," 137,272.00 ",6100.00,163516,21734,6100,23905,0.06,e
1032," 10,000.00 ", 0.13 ,336.22,B," 70,000.00 "," 32,994.00 ",26100.00,53840,32994,12300,27740,0.04,r
1033," 20,000.00 ", 0.14 ,679,B," 85,000.00 "," 144,671.00 ",43200.00,175689,42788,33500,20089,0.13,w
1034," 30,000.00 ", 0.16 ,1058.27,C," 110,000.00 "," 600,338.00 ",6000.00,608531,4807,2500,2531,0.09,e
1035," 10,000.00 ", 0.10 ,321.13,B," 82,560.00 "," 140,530.00 ",20300.00,163934,40885,10600,38480,0.04,r
1036," 12,000.00 ", 0.12 ,398.52,B," 53,000.00 "," 17,050.00 ",13100.00,28202,17050,13100,15102,0.01,w
1037," 15,000.00 ", 0.15 ,519.84,C," 45,000.00 "," 76,675.00 ",23800.00,92390,22450,17700,3648,0.14,e
1038," 5,000.00 ", 0.09 ,158.77,A," 34,000.00 "," 22,707.00 ",6400.00,37996,22707,6400,31596,0.08,r
1039," 35,000.00 ", 0.19 ,912.17,D," 88,000.00 "," 441,476.00 ",32200.00,463364,52992,6600,37149,-0.32,w
1040," 10,000.00 ", 0.22 ,278.47,E," 55,244.08 "," 258,209.00 ",5400.00,267300,3857,3000,0,0.02,e
1041," 25,000.00 ", 0.14 ,854.2,C," 88,100.00 "," 70,672.00 ",15800.00,94979,70672,5000,79179,0.08,r
1042," 8,875.00 ", 0.14 ,305.36,C," 34,000.00 "," 8,614.00 ",4700.00,11130,8614,4300,6430,-0.04,w
1043," 12,000.00 ", 0.15 ,285.36,C," 67,500.00 "," 7,825.00 ",4000.00,15155,7825,2000,11155,0.01,e
1044," 35,000.00 ", 0.17 ,869.66,D," 118,000.00 "," 411,310.00 ",33700.00,462884,101503,31400,114980,0.04,r
1045," 29,500.00 ", 0.14 ,1014.99,C," 115,000.00 "," 145,613.00 ",14900.00,174842,145613,7400,128756,0.14,w
1046," 9,200.00 ", 0.09 ,292.13,A," 32,500.00 "," 15,636.00 ",37000.00,37000,15636,31000,0,0.08,e
1047," 10,000.00 ", 0.12 ,332.1,B," 35,000.00 "," 6,314.00 ",11700.00,11700,6314,6600,0,-0.47,r
1048," 7,875.00 ", 0.17 ,280.73,D," 32,000.00 "," 32,621.00 ",5900.00,39333,32621,2000,33433,0.16,w
1049," 17,000.00 ", 0.14 ,391.44,B," 68,000.00 "," 48,018.00 ",24400.00,65969,48018,6500,35712,0.03,e
1050," 15,000.00 ", 0.09 ,476.3,A," 65,000.00 "," 263,136.00 ",8300.00,281478,36525,900,45178,0.06,r
1051," 15,000.00 ", 0.12 ,498.15,B," 90,000.00 "," 12,629.00 ",16300.00,16300,12629,11800,0,0.09,w
1052," 21,000.00 ", 0.16 ,513.37,C," 62,550.00 "," 39,236.00 ",38600.00,52590,39236,18600,13990,-0.64,e
1053," 10,000.00 ", 0.16 ,352.76,C," 32,760.00 "," 9,722.00 ",11700.00,14700,9722,8700,3000,0.16,r
1054," 15,000.00 ", 0.12 ,498.15,B," 80,000.00 "," 135,522.00 ",17400.00,160319,30525,9700,19891,0.11,w
1055," 9,450.00 ", 0.14 ,325.14,C," 68,286.22 "," 121,704.00 ",7700.00,131896,121704,4400,124196,0.14,e
1056," 8,000.00 ", 0.08 ,250.33,A," 59,500.00 "," 38,946.00 ",82500.00,122763,38946,47500,40263,0.06,r
1057," 1,500.00 ", 0.23 ,57.99,E," 40,000.00 "," 39,095.00 ",5200.00,48239,39095,1500,43039,0.17,w
1058," 30,650.00 ", 0.13 ,1030.51,B," 70,000.00 "," 191,646.00 ",67800.00,277218,69413,59500,77199,0.12,e
1059," 8,000.00 ", 0.12 ,265.68,B," 61,500.00 "," 191,372.00 ",20100.00,218638,34525,11100,38282,0.06,r
1060," 15,000.00 ", 0.12 ,498.15,B," 100,000.00 "," 49,642.00 ",19700.00,74221,49642,13600,54521,0.12,w
1061," 30,000.00 ", 0.13 ,1008.66,B," 160,000.00 "," 81,905.00 ",31200.00,116446,81905,24900,38000,0.11,e
1062," 8,875.00 ", 0.20 ,329.7,D," 30,000.00 "," 20,125.00 ",22300.00,25300,20125,19000,3000,-0.32,r
1063," 29,700.00 ", 0.14 ,690.76,C," 59,892.00 "," 317,844.00 ",16000.00,341787,65289,16000,69787,0.05,w
1064," 35,000.00 ", 0.16 ,855.61,C," 90,000.00 "," 91,192.00 ",49200.00,123289,91192,10300,74089,0.03,e
1065," 14,100.00 ", 0.11 ,461.55,B," 42,000.00 "," 46,066.00 ",24100.00,69391,46066,20400,45291,0.06,r
1066," 18,000.00 ", 0.11 ,589.22,B," 57,000.00 "," 126,288.00 ",21500.00,152402,39640,12500,38036,-0.12,w
1067," 28,625.00 ", 0.17 ,1020.42,D," 68,952.00 "," 69,917.00 ",35300.00,94327,69917,26600,59027,0.12,e
1068," 11,000.00 ", 0.21 ,411.61,E," 51,000.00 "," 21,139.00 ",9500.00,24621,21139,7900,15121,-0.59,r
1069," 10,000.00 ", 0.10 ,321.13,B," 68,000.00 "," 145,293.00 ",30800.00,181902,76063,19200,80603,-0.28,w
1070," 12,000.00 ", 0.08 ,375.49,A," 65,000.00 "," 37,857.00 ",33500.00,57136,37857,13000,23636,0.07,e
1071," 22,000.00 ", 0.21 ,589.01,E," 56,227.00 "," 241,855.00 ",34700.00,269561,152324,12500,135964,-0.05,r
1072," 7,200.00 ", 0.16 ,251.75,C," 21,000.00 "," 5,294.00 ",10600.00,13862,5294,5100,3262,-0.48,w
1073," 14,000.00 ", 0.11 ,458.28,B," 53,000.00 "," 104,261.00 ",47800.00,160217,14520,37000,19117,0.09,e
1074," 4,800.00 ", 0.12 ,159.41,B," 30,000.00 "," 11,672.00 ",33600.00,33600,11672,32600,0,0.11,r
1075," 19,425.00 ", 0.08 ,607.82,A," 68,500.00 "," 31,062.00 ",28400.00,68700,31062,23100,40300,0.07,w
1076," 28,000.00 ", 0.07 ,859.71,A," 180,000.00 "," 848,616.00 ",76600.00,994065,24377,65100,20524,-0.25,e
1077," 30,000.00 ", 0.18 ,754.81,D," 84,788.00 "," 4,264.00 ",10700.00,18980,4264,8900,8280,0.20,r
1078," 28,000.00 ", 0.21 ,765.08,E," 80,000.00 "," 197,084.00 ",38000.00,228456,37793,34000,17535,-0.55,w
1079," 25,000.00 ", 0.16 ,874.12,C," 130,000.00 "," 298,937.00 ",58800.00,373028,90844,53300,68203,0.07,e
1080," 11,625.00 ", 0.16 ,410.08,C," 60,000.00 "," 41,309.00 ",15000.00,53398,41309,13500,38398,-0.43,r
1081," 4,800.00 ", 0.15 ,166.35,C," 35,000.00 "," 5,466.00 ",7800.00,7800,5466,4300,0,-0.25,w
1082," 10,500.00 ", 0.08 ,328.55,A," 140,000.00 "," 326,448.00 ",21000.00,387278,2449,21000,0,0.05,e
1083," 20,000.00 ", 0.11 ,434.75,B," 52,000.00 "," 201,509.00 ",25300.00,223345,27918,19500,12250,0.16,r
1084," 9,600.00 ", 0.09 ,304.84,A," 65,000.00 "," 42,905.00 ",8000.00,56950,42905,8000,48950,0.05,w
1085," 15,000.00 ", 0.12 ,498.15,B," 62,000.00 "," 24,130.00 ",52500.00,55000,24130,23300,2500,0.11,e
1086," 35,000.00 ", 0.13 ,1176.77,B," 140,000.00 "," 360,599.00 ",131300.00,440331,122074,125400,55196,0.12,r
1087," 15,000.00 ", 0.14 ,348.87,C," 65,564.00 "," 247,469.00 ",48500.00,295766,84954,25100,83483,0.20,w
1088," 35,000.00 ", 0.17 ,869.66,D," 300,000.00 "," 85,187.00 ",81200.00,190861,85187,55000,58127,0.16,e
1089," 8,700.00 ", 0.11 ,284.79,B," 37,000.00 "," 190,111.00 ",25200.00,219700,3019,17200,3000,-0.53,r
1090," 20,500.00 ", 0.14 ,705.34,C," 47,000.00 "," 44,290.00 ",44000.00,73817,44290,21600,29817,0.14,w
1091," 25,975.00 ", 0.20 ,687.75,D," 60,000.00 "," 76,392.00 ",36800.00,108122,76392,19200,71322,-0.59,e
1092," 2,400.00 ", 0.09 ,76.21,A," 81,500.00 "," 56,808.00 ",53500.00,112476,56808,53500,58976,0.04,r
1093," 30,000.00 ", 0.09 ,952.6,A," 80,000.00 "," 378,302.00 ",25700.00,397003,24713,13000,14303,0.06,w
1094," 14,000.00 ", 0.15 ,485.18,C," 60,000.00 "," 311,403.00 ",34700.00,341644,62838,14900,48694,0.04,e
1095," 24,000.00 ", 0.18 ,612.72,D," 60,000.00 "," 38,702.00 ",29600.00,76388,38702,10300,46788,0.24,r
1096," 15,000.00 ", 0.16 ,524.48,C," 40,000.00 "," 28,338.00 ",56200.00,59623,28338,9800,3423,0.15,w
1097," 28,000.00 ", 0.15 ,970.36,C," 85,000.00 "," 65,743.00 ",35800.00,100087,65743,19600,64287,0.15,e
1098," 12,500.00 ", 0.13 ,420.28,B," 130,000.00 "," 26,827.00 ",43000.00,53559,26827,39500,6597,0.08,r
1099," 8,000.00 ", 0.16 ,282.21,C," 49,000.00 "," 200,091.00 ",14100.00,245622,24021,5300,18565,0.13,w
1100," 4,800.00 ", 0.15 ,166.35,C," 24,000.00 "," 62,761.00 ",8900.00,71939,17737,6800,13539,0.10,e
1101," 5,500.00 ", 0.15 ,190.61,C," 54,747.00 "," 240,998.00 ",12800.00,261808,41071,8700,37351,0.14,r
1102," 10,400.00 ", 0.15 ,247.31,C," 50,000.00 "," 42,897.00 ",6400.00,59452,42897,5800,53052,0.22,w
1103," 18,000.00 ", 0.10 ,578.03,B," 51,000.00 "," 170,767.00 ",24700.00,202507,31497,21200,28828,0.09,e
1104," 8,000.00 ", 0.19 ,294.14,D," 91,000.00 "," 58,918.00 ",25900.00,71407,58918,16700,43086,0.19,r
1105," 13,475.00 ", 0.10 ,432.72,B," 75,000.00 "," 42,346.00 ",34400.00,69703,42346,23000,35303,0.09,w
1106," 18,000.00 ", 0.14 ,423.23,C," 85,000.00 "," 223,276.00 ",60500.00,271356,65040,46500,29037,0.22,e
1107," 15,000.00 ", 0.13 ,340.15,B," 77,200.00 "," 91,781.00 ",11400.00,88077,91781,8700,76677,0.01,r
1108," 7,350.00 ", 0.18 ,264.14,D," 34,000.00 "," 74,921.00 ",11500.00,75273,74921,4900,63773,0.14,w
1109," 10,000.00 ", 0.07 ,307.04,A," 54,000.00 "," 33,551.00 ",18200.00,53631,33551,8200,35431,0.06,e
1110," 3,000.00 ", 0.10 ,96.34,B," 47,800.00 "," 12,806.00 ",6800.00,35382,12806,1300,28582,0.09,r
1111," 6,000.00 ", 0.14 ,203.7,B," 34,836.00 "," 19,639.00 ",10000.00,30012,19639,5000,20012,-0.43,w
1112," 10,000.00 ", 0.16 ,349.65,C," 40,000.00 "," 148,384.00 ",12800.00,162197,19697,9300,12435,0.07,e
1113," 9,750.00 ", 0.16 ,340.91,C," 36,000.00 "," 4,875.00 ",11400.00,11400,4875,4800,0,0.06,r
1114," 22,800.00 ", 0.26 ,913.42,F," 60,000.00 "," 142,727.00 ",31700.00,160424,33452,6300,13674,-0.59,w
1115," 4,800.00 ", 0.14 ,162.96,B," 59,000.00 "," 29,985.00 ",8900.00,38466,29985,6200,29566,0.12,e
1116," 12,000.00 ", 0.10 ,385.35,B," 78,000.00 "," 122,491.00 ",34000.00,150294,16583,17700,8294,-0.60,r
1117," 8,000.00 ", 0.15 ,277.25,C," 60,000.00 "," 41,211.00 ",51900.00,61900,41211,42200,10000,0.10,w
1118," 20,000.00 ", 0.13 ,453.53,B," 83,000.00 "," 311,166.00 ",40700.00,352412,22145,20700,17800,0.05,e
1119," 21,000.00 ", 0.14 ,493.77,C," 70,000.00 "," 286,665.00 ",12400.00,305185,26213,10800,25744,0.13,r
1120," 5,500.00 ", 0.24 ,216.02,F," 45,000.00 "," 9,480.00 ",12600.00,18323,9480,5700,5723,0.23,w
1121," 30,000.00 ", 0.18 ,754.81,D," 75,000.00 "," 147,681.00 ",48800.00,190221,43752,29000,26430,0.22,e
1122," 12,000.00 ", 0.16 ,419.58,C," 115,000.00 "," 260,137.00 ",31200.00,283782,53528,11500,40688,0.01,r
1123," 11,400.00 ", 0.14 ,265.14,C," 92,600.00 "," 363,615.00 ",32400.00,404124,51105,9800,45724,-0.19,w
1124," 12,000.00 ", 0.11 ,392.81,B," 50,000.00 "," 133,846.00 ",10800.00,157341,15681,6400,9009,-0.62,e
1125," 35,000.00 ", 0.12 ,1162.34,B," 85,000.00 "," 258,625.00 ",54800.00,341250,37233,52800,0,0.11,r
1126," 14,400.00 ", 0.09 ,457.25,A," 80,000.00 "," 70,340.00 ",73200.00,125233,70340,62400,52033,0.08,w
1127," 11,000.00 ", 0.14 ,258.64,C," 140,000.00 "," 139,777.00 ",23200.00,170545,15081,13200,14678,0.12,e
1128," 18,825.00 ", 0.08 ,589.04,A," 152,000.00 "," 393,278.00 ",28000.00,411032,37588,26200,20701,0.07,r
1129," 21,000.00 ", 0.08 ,654.39,A," 75,000.00 "," 151,748.00 ",40000.00,175000,21810,40000,0,0.06,w
1130," 7,500.00 ", 0.12 ,249.08,B," 88,000.00 "," 280,026.00 ",34600.00,322600,12995,18100,0,0.11,e
1131," 2,500.00 ", 0.15 ,86.64,C," 57,200.00 "," 140,170.00 ",8200.00,172208,12271,8200,20456,0.04,r
1132," 5,000.00 ", 0.13 ,168.11,B," 25,000.00 "," 51,674.00 ",8300.00,56662,51674,2300,48362,0.03,w
1133," 22,400.00 ", 0.11 ,733.25,B," 320,000.00 "," 60,131.00 ",46200.00,70725,60131,42200,24525,0.10,e
1134," 27,300.00 ", 0.20 ,1014.15,D," 77,514.00 "," 66,167.00 ",25500.00,88982,66167,21000,63482,0.14,r
1135," 28,000.00 ", 0.20 ,741.37,D," 108,000.00 "," 478,504.00 ",33700.00,519297,72323,13600,51796,0.08,w
1136," 20,000.00 ", 0.11 ,654.68,B," 70,000.00 "," 161,376.00 ",23400.00,190195,32424,9700,30099,0.10,e
1137," 14,000.00 ", 0.09 ,444.55,A," 45,000.00 "," 9,398.00 ",26900.00,26900,9398,12600,0,0.08,r
1138," 14,000.00 ", 0.16 ,337.56,C," 89,999.00 "," 245,399.00 ",11300.00,256271,17935,9300,14037,-0.35,w
1139," 8,000.00 ", 0.11 ,261.88,B," 120,000.00 "," 77,429.00 ",50900.00,152873,77429,11400,101973,0.09,e
1140," 25,000.00 ", 0.08 ,782.26,A," 460,443.00 "," 795,088.00 ",8600.00,961252,155934,8100,144366,0.07,r
1141," 20,000.00 ", 0.06 ,608.72,A," 75,000.00 "," 26,472.00 ",41200.00,60603,26472,37800,19403,0.02,w
1142," 35,000.00 ", 0.18 ,893.54,D," 155,000.00 "," 395,843.00 ",60600.00,471037,163178,38300,147268,0.26,e
1143," 13,000.00 ", 0.14 ,305.67,C," 65,000.00 "," 206,976.00 ",36600.00,253755,37218,13200,36488,0.07,r
1144," 10,000.00 ", 0.14 ,341.68,C," 27,000.00 "," 24,114.00 ",29400.00,44085,24114,24800,14685,0.08,w
1145," 8,000.00 ", 0.17 ,285.19,D," 65,000.00 "," 224,684.00 ",48600.00,269582,75994,20200,59302,-0.42,e
1146," 4,000.00 ", 0.18 ,143.75,D," 48,000.00 "," 122,589.00 ",4000.00,126417,40460,1800,38957,0.17,r
1147," 7,375.00 ", 0.25 ,291.29,F," 45,000.00 "," 44,265.00 ",4200.00,48284,44265,1300,44084,-0.62,w
1148," 9,600.00 ", 0.13 ,322.77,B," 70,000.00 "," 183,878.00 ",79600.00,246736,44501,77400,26586,0.12,e
1149," 21,250.00 ", 0.14 ,726.07,C," 96,000.00 "," 48,570.00 ",10300.00,76856,48570,10000,66556,0.10,r
1150," 16,000.00 ", 0.10 ,513.8,B," 180,000.00 "," 452,297.00 ",120100.00,554562,98267,102600,38277,0.09,w
1151," 35,000.00 ", 0.16 ,855.61,C," 100,000.00 "," 385,859.00 ",48100.00,428746,84429,17600,69089,0.18,e
1152," 20,000.00 ", 0.08 ,625.81,A," 116,000.00 "," 59,022.00 ",37300.00,94055,59022,21600,43297,0.07,r
1153," 20,000.00 ", 0.08 ,625.81,A," 75,000.00 "," 31,432.00 ",36200.00,64108,31432,36200,27908,0.07,w
1154," 7,425.00 ", 0.09 ,235.77,A," 42,300.00 "," 40,789.00 ",23000.00,59041,40789,11600,36041,0.05,e
1155," 20,000.00 ", 0.24 ,571.89,F," 62,000.00 "," 277,251.00 ",23200.00,280958,19493,13300,0,0.23,r
1156," 15,000.00 ", 0.12 ,498.15,B," 63,000.00 "," 69,892.00 ",17900.00,96894,69892,9000,78994,0.11,w
1157," 8,000.00 ", 0.06 ,243.49,A," 73,000.00 "," 149,036.00 ",8500.00,159929,27014,8500,21820,0.05,e
1158," 12,500.00 ", 0.11 ,409.18,B," 83,000.00 "," 68,059.00 ",18606.00,166106,29682,12301,10000,0.07,r
1159," 8,000.00 ", 0.13 ,268.98,B," 30,000.00 "," 54,323.00 ",11000.00,61968,54323,5000,50968,0.11,w
1160," 15,000.00 ", 0.16 ,361.67,C," 91,000.00 "," 299,260.00 ",35800.00,341107,52904,6400,54202,0.05,e
1161," 15,000.00 ", 0.13 ,504.33,B," 65,000.00 "," 66,761.00 ",21550.00,78685,66761,17550,57135,0.12,r
1162," 16,225.00 ", 0.15 ,562.29,C," 80,000.00 "," 91,133.00 ",17300.00,98041,91133,9000,80741,-0.38,w
1163," 11,200.00 ", 0.12 ,249.09,B," 70,000.00 "," 18,470.00 ",73700.00,85695,18470,69700,11995,0.05,e
1164," 7,200.00 ", 0.21 ,269.42,E," 60,000.00 "," 49,332.00 ",19100.00,97858,47248,13100,41188,-0.03,r
1165," 30,000.00 ", 0.11 ,982.02,B," 181,000.00 "," 607,941.00 ",58200.00,650740,226135,31400,165317,0.07,w
1166," 13,600.00 ", 0.08 ,425.55,A," 120,000.00 "," 428,802.00 ",28000.00,514966,64391,28000,68905,0.06,e
1167," 11,850.00 ", 0.16 ,418.02,C," 42,000.00 "," 37,700.00 ",17200.00,48037,37700,11000,30837,-0.28,r
